index,target,generated,content_f1,word_f1,rouge1_f1,overlapping_content_words,bertscore_raw_f1
72,us military you will forever be an al qaeda target,nation to back the ehlateral the military,0.22222222222222224,0.11764705882352941,0.11764705926179886,military,0.8415451645851135
15,eyes closed and her mouth open and blood was trickling,dog was the  underneath a blood and it,0.2222222222222222,0.33333333333333326,0.3333333432674408,blood,0.8309561014175415
62,the street he turned left and instead of turning around,go home and do instead of he and the stop,0.2,0.5,0.5,instead,0.837889552116394
20,kept getting louder and louder the silence then i finally,started getting hurting back to my whiy,0.1818181818181818,0.11764705882352941,0.11764705926179886,getting,0.8164288401603699
18,this nonstop loop of my stepfather almost like that cliche,bobppy  start whiping up into the hill like,0.1818181818181818,0.11111111111111112,0.1111111119389534,like,0.8084121942520142
59,i wanted i asked to go on vacation to see,go home avan a year up now wests,0.1818181818181818,0.11111111111111112,0.1111111119389534,go,0.831628143787384
26,took us a long time to heal my stepfather broke,the home detached and she took to home her wedding job,0.16666666666666666,0.1904761904761905,0.190476194024086,took,0.8264211416244507
80,best to look artsy to fit in but even though,keep up all of people in hit at night and even what like,0.16666666666666666,0.17391304347826086,0.17391304671764374,even,0.8251773715019226
27,one nursing twenty four hours around the clock at home,a front side brunite's home by,0.16666666666666666,0.125,0.11764705926179886,home,0.8168216347694397
31,multiple surgeries on the arm every time the arm got,oil piecemate a time to take of of drink,0.16666666666666666,0.10526315789473685,0.10526315867900848,time,0.8128624558448792
32,wear a short sleeve blouse or a long sleeve blouse,long time get up but  i started trying to,0.16666666666666666,0.10526315789473685,0.10526315867900848,long,0.8107730150222778
57,iraqi police iraqi military local mayors leaders with top us,state police a a police officer and a cop,0.15384615384615385,0.10526315789473685,0.10526315867900848,police,0.8283087015151978
45,driver sped away trying to get to safety not knowing,driver see the dust but the crowd walking outside and,0.15384615384615383,0.10000000000000002,0.10000000149011612,driver,0.8412268757820129
46,twenty five minutes ride to school took two hours because,big hit on in callian early it about forty hours,0.14285714285714288,0.10000000000000002,0.10000000149011612,hours,0.815951943397522
106,dear friend of mine says you know tricia i love,writer said aleas really u know really talented uh,0.14285714285714285,0.10526315789473685,0.10526315867900848,know,0.8344959616661072
7,long enough ago i was fourteen a long time ago,twenty eight minutes and really good movie in it for maybe long,0.14285714285714285,0.0909090909090909,0.09090909361839294,long,0.8059374094009399
17,you awake if you're awake say something say something please,thing getting tipping out and maybe something''s going,0.13333333333333333,0.10526315789473685,0.10000000149011612,something,0.8205607533454895
101,dear friend sarah who's also a southerner i say sarah,sort of thank  friends and yan say places to provide,0.13333333333333333,0.10000000000000002,0.190476194024086,say,0.8331893086433411
60,dad one evening i took a two mile walk to,o visitnaut half of one day away now seven three,0.125,0.10000000000000002,0.10000000149011612,one,0.8090379238128662
90,start making these hopeless stick figures every forty five seconds,start doing things like christie get to started doing things,0.125,0.10000000000000002,0.10000000149011612,start,0.8303312659263611
76,north to boston which caused my family to collectively take,part went to school and to say anay,0.0,0.22222222222222224,0.2222222238779068,,0.8370919227600098
83,entire life i had never held a stick of charcoal,a belly o hot salad and i started,0.0,0.22222222222222224,0.2222222238779068,,0.8379775881767273
102,moving fast enough i kept pushing him to move faster,started my time to support i want going camp,0.0,0.2105263157894737,0.21052631735801697,,0.8359118103981018
10,eating this rice um suddenly i heard a loud bang,started throwing in a fire i in the action it goes,0.0,0.1904761904761905,0.190476194024086,,0.8341323733329773
78,started consulting and i started taking classes to figure out,bring out some or stick points to the home driver range,0.0,0.1904761904761905,0.190476194024086,,0.8265005350112915
82,class will focus on process the process of art making,three things especially like every three years of instructors the three,0.0,0.1904761904761905,0.190476194024086,,0.8218339681625366
55,botter because i couldn't hear the t's just the r's,the door seat player broke thepipe and my owner started the keys,0.0,0.1818181818181818,0.1599999964237213,,0.8273353576660156
41,one time for five days with a fetal heart monitor,interview kid  a night,0.0,0.14285714285714288,0.1428571492433548,,0.8224002718925476
5,offering to give thanks for delivering my child home safely,n a fasting for the donor call,0.0,0.11764705882352941,0.11764705926179886,,0.8542006611824036
21,get help please please get help and then a bunch,gun ickyling the head and thea throwing,0.0,0.11764705882352941,0.11764705926179886,,0.8131479024887085
