index,target,generated,content_f1,word_f1,bleu1,rouge1_f1,overlapping_content_words,bertscore_raw_f1
68,voice said the pain of the jump is nothing compared,head voice said i couldn't know in my hands,0.3333333333333333,0.2105263157894737,0.19885317981243134,0.20000000298023224,"said, voice",0.8501572608947754
59,i wanted i asked to go on vacation to see,see go aw our eight years now also to kald,0.3076923076923077,0.3,0.30000001192092896,0.30000001192092896,"go, see",0.8345355987548828
60,dad one evening i took a two mile walk to,two or twenty weeks now i walk down on question,0.30769230769230765,0.3,0.30000001192092896,0.30000001192092896,"two, walk",0.8308537006378174
108,wrong job or the wrong marriage i'm in the wrong,a stepfather  doing the job so you all grab the,0.2222222222222222,0.3,0.30000001192092896,0.2857142984867096,job,0.8506356477737427
14,embankment and then finally came to a last thud and,light to s down it starts streaking to finally,0.20000000000000004,0.2105263157894737,0.19885317981243134,0.21052631735801697,finally,0.8234083652496338
45,driver sped away trying to get to safety not knowing,the driver just driving out at midnight so there is the across,0.18181818181818182,0.0909090909090909,0.0833333358168602,0.09090909361839294,driver,0.8454121351242065
62,the street he turned left and instead of turning around,instead of sitting he said no he went back,0.1818181818181818,0.3157894736842105,0.2982797622680664,0.31578946113586426,instead,0.8537085056304932
58,my new family on base even though it was dangerous,many that even at my dog would be able to pass,0.1818181818181818,0.1904761904761905,0.1818181872367859,0.190476194024086,even,0.8411799073219299
15,eyes closed and her mouth open and blood was trickling,Water blood from my dustpipe through which seemed to sing,0.1818181818181818,0.10000000000000002,0.10000000149011612,0.10000000149011612,blood,0.8330063223838806
98,committed relationship for the past eighteen years with his boyfriend,repealing ithaca we heard not telling now being a boyfriend,0.16666666666666666,0.10000000000000002,0.10000000149011612,0.10000000149011612,boyfriend,0.8428041934967041
46,twenty five minutes ride to school took two hours because,stopping it's two people so in ninety fives,0.14285714285714288,0.11111111111111112,0.0973500981926918,0.21052631735801697,two,0.8206130862236023
103,two instructors and several students review the work give us,Practicing the semester two days or three saying three days,0.13333333333333333,0.20000000000000004,0.20000000298023224,0.20000000298023224,two,0.8153263330459595
71,stay i left baghdad early the next morning going back,me safely had won the two hour walk at the next call,0.13333333333333333,0.1818181818181818,0.1666666716337204,0.1818181872367859,next,0.8418532013893127
57,iraqi police iraqi military local mayors leaders with top us,citing you also are military also must you very are interview a lawyer,0.13333333333333333,0.08695652173913043,0.07692307978868484,0.08695652335882187,military,0.8072806596755981
2,weeks in the hospital weeks blind and mute as well,heading say in the air everyone is bubbling up,0.0,0.2105263157894737,0.19885317981243134,0.21052631735801697,,0.8480405211448669
25,remember you know in the emergency room i remember vague,smart bronwort owner and in the past ten years,0.0,0.2105263157894737,0.19885317981243134,0.21052631735801697,,0.8136037588119507
26,took us a long time to heal my stepfather broke,went back to home and completed my income at home,0.0,0.20000000000000004,0.20000000298023224,0.20000000298023224,,0.8290748000144958
76,north to boston which caused my family to collectively take,instead of going out to my guide and about thirty years,0.0,0.1904761904761905,0.1818181872367859,0.190476194024086,,0.8276845812797546
16,driving vijay we were at the temple vijay vijay vijay,Turn on away every hundred we stopped us back the front stage,0.0,0.1818181818181818,0.1666666716337204,0.1818181872367859,,0.8085988759994507
66,gonna see another day am i gonna see my family,One time I get to my really later fact of two more,0.0,0.1818181818181818,0.1666666716337204,0.1818181872367859,,0.8031421303749084
109,home of twenty five years and my jeep gets stolen,laughing sounds said in my application code called an orderer and parcels,0.0,0.1818181818181818,0.1666666716337204,0.1818181872367859,,0.8126785755157471
0,years old i got really sick um and no one,fadee out of ana period i talked,0.0,0.11764705882352941,0.09306272119283676,0.11764705926179886,,0.8287992477416992
8,still really sick i could barely hold my head up,stinking was nineteen eightpy new i know,0.0,0.11764705882352941,0.09306272119283676,0.11764705926179886,,0.8216015696525574
42,please deliver me and my child intact and healthy out,this it's the jesales part and wedding,0.0,0.11764705882352941,0.09306272119283676,0.1111111119389534,,0.8063215613365173
96,piece gets progressively more undone until the final piece explodes,packed with atomicetics and produced into the oregons,0.0,0.11111111111111112,0.0973500981926918,0.1111111119389534,,0.83183354139328
101,dear friend sarah who's also a southerner i say sarah,dath i know that there are the people,0.0,0.11111111111111112,0.0973500981926918,0.10526315867900848,,0.8420266509056091
5,offering to give thanks for delivering my child home safely,produced ccm for office and then he came out,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,,0.8267580270767212
19,i started feeling things i started feeling hot and cold,looked and sheer so cause um umh it  crashed,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,,0.7905974984169006
37,college loans and you know bought me an apartment paid,failed to earn more money and he started i,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,,0.8441501259803772
51,arrived in kurdistan state in northern iraq and i managed,stop stopping ag people more nippoti union and you,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,,0.829879641532898
79,needlepoint directing french i found this brochure for the school,not am worried about today's money not the financial,0.0,0.10526315789473685,0.09942658990621567,0.10000000149011612,,0.8357930779457092
106,dear friend of mine says you know tricia i love,speak on really promoted you will uh your singer,0.0,0.10526315789473685,0.09942658990621567,0.10526315867900848,,0.8205062747001648
1,with a hyper allergy something called stevens johnson syndrome and,never really went into my basement it takes a little,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,,0.7966575622558594
21,get help please please get help and then a bunch,mps sitting about almost full and all the cop screaming,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,,0.8255219459533691
22,famous things called the jaws of life to cut open,Katie and  lovely restaurant bells and and the sitting whole,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,,0.8243039846420288
23,parents got taken somewhere else my arm you know because,urban lawns said um in pent traversed so you drive,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,,0.8203242421150208
31,multiple surgeries on the arm every time the arm got,make you become dismissed at the im intense of destruction,0.0,0.10000000000000002,0.10000000149011612,0.10000000149011612,,0.8079879879951477
