index,target,generated,target_word_count,decoded_word_count,exact_word_f1,stemmed_word_f1,exact_content_word_f1,stemmed_content_word_f1,exact_overlap_words,stemmed_overlap_forms,exact_content_overlap_words,stemmed_content_overlap_forms,decoded_function_word_count,decoded_function_word_fraction,decoded_function_words,target_function_word_count,target_function_word_fraction,target_function_words
0,years old i got really sick um and no one,sfluon ofi the the campus lodge,10,6,0.0,0.0,0.0,0.0,,,,,2,0.3333333333333333,the the,4,0.4,i really and no
1,with a hyper allergy something called stevens johnson syndrome and,directing stuff but get back on apoana,10,7,0.0,0.0,0.0,0.0,,,,,2,0.2857142857142857,but on,3,0.3,with a and
2,weeks in the hospital weeks blind and mute as well,bigblaze of marcity from start early,10,6,0.0,0.0,0.0,0.0,,,,,2,0.3333333333333333,of from,5,0.5,in the and as well
3,slept every night in the hospital to take care of,fuck target cause hs front fuck,10,6,0.0,0.0,0.0,0.0,,,,,0,0.0,,4,0.4,in the to of
4,made a promise to god that um if god delivers,a final stop orthy's provider,10,5,0.13333333333333333,0.13333333333333333,0.0,0.0,a,a,,,1,0.2,a,4,0.4,a to that if
5,offering to give thanks for delivering my child home safely,point  give a woman waiting,10,5,0.13333333333333333,0.13333333333333333,0.18181818181818182,0.18181818181818182,give,give,give,give,1,0.2,a,3,0.3,to for my
6,mother and i drove in our red ford mercury car,publication in lalabtara a front player get,10,7,0.11764705882352941,0.11764705882352941,0.0,0.0,in,in,,,2,0.2857142857142857,in a,4,0.4,and i in our
7,long enough ago i was fourteen a long time ago,five a consumest memorial stores ith maybe about four years,10,10,0.10000000000000002,0.10000000000000002,0.0,0.0,a,a,,,2,0.2,a about,3,0.3,i was a
8,still really sick i could barely hold my head up,a motivation motivation the point to the first michelle,10,9,0.0,0.0,0.0,0.0,,,,,4,0.4444444444444444,a the to the,5,0.5,really i could my up
9,squeaky round styrofoam plate with bunch of yellow rice on,new venuisty and the mid faster the middle,10,8,0.0,0.0,0.0,0.0,,,,,3,0.375,and the the,3,0.3,with of on
10,eating this rice um suddenly i heard a loud bang,starting puetty hot a party,10,5,0.13333333333333333,0.13333333333333333,0.0,0.0,a,a,,,1,0.2,a,3,0.3,this i a
11,remember the plate flying and yellow rice everywhere like confetti,a target the the right,10,5,0.13333333333333333,0.13333333333333333,0.0,0.0,the,the,,,3,0.6,a the the,2,0.2,the and
12,us no trees no nothing just endless miraculous blue sky,two outside campus front on aa woman,10,7,0.0,0.0,0.0,0.0,,,,,1,0.14285714285714285,on,4,0.4,us no no just
13,heard another thud and then i kind of heard and,gets a key player knowa gun,10,6,0.0,0.0,0.0,0.0,,,,,1,0.16666666666666666,a,5,0.5,and then i of and
14,embankment and then finally came to a last thud and,a of start to get the last,10,7,0.3529411764705882,0.3529411764705882,0.25,0.25,a last to,a last to,last,last,4,0.5714285714285714,a of to the,5,0.5,and then to a and
15,eyes closed and her mouth open and blood was trickling,one from the  underneath the head and the woman began,10,10,0.10000000000000002,0.10000000000000002,0.0,0.0,and,and,,,5,0.5,from the the and the,4,0.4,and her and was
16,driving vijay we were at the temple vijay vijay vijay,hy nazis are sort of get back a stage,10,9,0.0,0.0,0.0,0.0,,,,,3,0.3333333333333333,are of a,4,0.4,we were at the
17,you awake if you're awake say something say something please,start having a lappyness of woman women' the landlord,10,9,0.0,0.0,0.0,0.0,,,,,4,0.4444444444444444,having a of the,3,0.3,you if you're
18,this nonstop loop of my stepfather almost like that cliche,a good tallisetting a base of personality,10,7,0.11764705882352941,0.11764705882352941,0.0,0.0,of,of,,,3,0.42857142857142855,a a of,4,0.4,this of my that
19,i started feeling things i started feeling hot and cold,incredibly blaze hit a,10,4,0.0,0.0,0.0,0.0,,,,,1,0.25,a,3,0.3,i i and
20,kept getting louder and louder the silence then i finally,started getting back out of my swbaby,10,7,0.11764705882352941,0.11764705882352941,0.2,0.2,getting,get,getting,get,3,0.42857142857142855,out of my,4,0.4,and the then i
21,get help please please get help and then a bunch,oneparked jeron fetty and,10,4,0.14285714285714288,0.14285714285714288,0.0,0.0,and,and,,,1,0.25,and,3,0.3,and then a
22,famous things called the jaws of life to cut open,one of the out studios a pro player,10,8,0.22222222222222224,0.22222222222222224,0.0,0.0,of the,of the,,,4,0.5,of the out a,3,0.3,the of to
