index,target,generated,content_f1,word_f1,bleu1,rouge1_f1,overlapping_content_words,bertscore_raw_f1
109,home of twenty five years and my jeep gets stolen,home of twenty five years the my appearance gets nothing,0.7142857142857143,0.7,0.699999988079071,0.699999988079071,"five, gets, home, twenty, years",0.8943657875061035
95,new york times business sections and the wall street journal,new york times three members made the wall street journal,0.7058823529411765,0.7,0.699999988079071,0.699999988079071,"journal, new, street, times, wall, york",0.9051294326782227
73,enrolled in a state university to get my master's degree,enrolled was a twenty university to i'd get master's degree broad depat,0.6666666666666667,0.6363636363636365,0.5833333134651184,0.6399999856948853,"degree, enrolled, get, master's, university",0.8924809098243713
92,end of class bob picks one of my gesture drawings,end went class bob picks one of durham finally different,0.6250000000000001,0.6,0.6000000238418579,0.6000000238418579,"bob, class, end, one, picks",0.8576592206954956
91,ever trying anything different for even attempting anything new and,ever trying anything else would even attempting organ peace and,0.625,0.6,0.6000000238418579,0.6000000238418579,"anything, attempting, even, ever, trying",0.8754438161849976
26,took us a long time to heal my stepfather broke,took us a long time florida law my nassel broke,0.6153846153846153,0.7,0.699999988079071,0.699999988079071,"broke, long, time, took",0.8802062273025513
49,leave baghdad on thursday november twenty third of two thousand,leave baghdad roll camp bad twenty third of two students,0.5882352941176471,0.6,0.6000000238418579,0.6000000238418579,"baghdad, leave, third, twenty, two",0.8476928472518921
57,iraqi police iraqi military local mayors leaders with top us,iraqi whip to out local mayors six with top us,0.5714285714285715,0.6,0.6000000238418579,0.6000000238418579,"iraqi, local, mayors, top",0.8819479942321777
108,wrong job or the wrong marriage i'm in the wrong,wrong cg or the wrong marriage i'm i'm puff reminisce,0.5714285714285715,0.6,0.6000000238418579,0.6086956262588501,"i'm, marriage, wrong, wrong",0.8834154009819031
37,college loans and you know bought me an apartment paid,college loans looked you know bought something mate around,0.5714285714285715,0.5263157894736842,0.49713295698165894,0.5263158082962036,"bought, college, know, loans",0.8793135285377502
81,wrong way to make art now this makes me extremely,wrong i'm to say art now this makes me very security,0.5714285714285714,0.6666666666666666,0.6363636255264282,0.6363636255264282,"art, makes, now, wrong",0.8959402441978455
9,squeaky round styrofoam plate with bunch of yellow rice on,squeaky round styrofoam image with wreath of yellow you went,0.5714285714285714,0.6,0.6000000238418579,0.6000000238418579,"round, squeaky, styrofoam, yellow",0.9052841067314148
21,get help please please get help and then a bunch,got help please please look help in then a semi,0.5714285714285714,0.6,0.6000000238418579,0.6000000238418579,"help, help, please, please",0.896289587020874
55,botter because i couldn't hear the t's just the r's,chair because north couldn't hear the t's come much r's page,0.5714285714285714,0.5714285714285713,0.5454545617103577,0.6666666865348816,"couldn't, hear, r's, t's",0.8923790454864502
75,something different by age thirty i had done most everything,something different by age thirty everyone's had chukchi that's all backda lets,0.5333333333333333,0.5454545454545454,0.5,0.5,"age, different, something, thirty",0.8898552060127258
88,going to look different i'm paralyzed what is mine supposed,pass by look different physical west i'mma is mine supposed,0.5333333333333333,0.5,0.5,0.5454545617103577,"different, look, mine, supposed",0.8785955905914307
74,losing my new safe home america like i lost baghdad,lose my new security seventy america like i lost marching,0.5,0.6,0.6000000238418579,0.699999988079071,"america, like, lost, new",0.9159435033798218
19,i started feeling things i started feeling hot and cold,night started seeing next seguin started feeling hot and trying,0.5,0.5,0.5,0.5,"feeling, hot, started, started",0.8783153891563416
46,twenty five minutes ride to school took two hours because,twenty five sasaki ride to air save really hours even,0.5,0.5,0.5,0.5,"five, hours, ride, twenty",0.8533417582511902
80,best to look artsy to fit in but even though,best everybody's way artsy kathy consulting calls but even though roll's,0.5,0.47619047619047616,0.4545454680919647,0.43478259444236755,"artsy, best, even, though",0.8624088764190674
35,dangerous edgy pictures of women and he wants to shoot,dangerous edgy revolution gonna women and he gets to shootde,0.4615384615384615,0.6,0.6000000238418579,0.6000000238418579,"dangerous, edgy, women",0.9007955193519592
58,my new family on base even though it was dangerous,my new neighborhood ca base even photosynthesizers it was hiteser the,0.4615384615384615,0.5714285714285713,0.5454545617103577,0.5714285969734192,"base, even, new",0.8333818912506104
64,hear about a kidnapping almost every day in the news,about digs kidnapping people every day in instant dd,0.4615384615384615,0.5263157894736842,0.49713295698165894,0.5263158082962036,"day, every, kidnapping",0.876011848449707
3,slept every night in the hospital to take care of,slept all night in basement block to national care pioneers,0.4615384615384615,0.5,0.5,0.5,"care, night, slept",0.8455349206924438
16,driving vijay we were at the temple vijay vijay vijay,driving vijay dances were high up off front vijay vijaydecs,0.4615384615384615,0.4000000000000001,0.4000000059604645,0.4000000059604645,"driving, vijay, vijay",0.8776041865348816
59,i wanted i asked to go on vacation to see,minute cause over asked scarede go mr back to see,0.4615384615384615,0.4000000000000001,0.4000000059604645,0.4000000059604645,"asked, go, see",0.8509341478347778
31,multiple surgeries on the arm every time the arm got,hugs on the arm learned time wheel year got,0.42857142857142855,0.5263157894736842,0.49713295698165894,0.5263158082962036,"arm, got, time",0.8514025211334229
47,shia civil war and to see a strong iraqi military,topfield war relationship to see a strong little things,0.42857142857142855,0.5263157894736842,0.49713295698165894,0.5263158082962036,"see, strong, war",0.8453620672225952
99,big donor cause i was working at harvard business school,big donor walked hugs was i'd at harvard peopleer,0.42857142857142855,0.5263157894736842,0.49713295698165894,0.6000000238418579,"big, donor, harvard",0.8722553849220276
6,mother and i drove in our red ford mercury car,mother and motivations drove in get white high security car,0.42857142857142855,0.5,0.5,0.5,"car, drove, mother",0.8484020233154297
23,parents got taken somewhere else my arm you know because,teachers got out we'd somewhere my arm you dredges hand,0.42857142857142855,0.5,0.5,0.4761904776096344,"arm, got, somewhere",0.8567128777503967
98,committed relationship for the past eighteen years with his boyfriend,committed relationship for you'll ten antic years he'd his friend,0.42857142857142855,0.5,0.5,0.4545454680919647,"committed, relationship, years",0.8621253371238708
100,school as a part time student but i'm still consulting,school as taught part time patience but ca still came a good pick the whole may,0.4210526315789474,0.5384615384615384,0.4375,0.5185185074806213,"part, school, still, time",0.8649323582649231
101,dear friend sarah who's also a southerner i say sarah,dear girl sarah darinfm a camp i say broad,0.39999999999999997,0.5263157894736842,0.49713295698165894,0.5,"dear, sarah, say",0.8613561987876892
7,long enough ago i was fourteen a long time ago,long applause officer seventy was fourteen a room stepholders ago,0.39999999999999997,0.5,0.5,0.5,"ago, fourteen, long",0.8510122299194336
34,helmut newton they said you know helmut newton the guy,heilry braunfs shake said dude know his newton stage guard,0.375,0.3,0.30000001192092896,0.30000001192092896,"know, newton, said",0.8261204957962036
102,moving fast enough i kept pushing him to move faster,motion watch soldiers certainly kept along with electoral move fast,0.375,0.3,0.30000001192092896,0.30000001192092896,"fast, kept, move",0.850830614566803
71,stay i left baghdad early the next morning going back,stayed i left baghdad early charges almost expected steve backe,0.35294117647058826,0.4000000000000001,0.4000000059604645,0.6000000238418579,"baghdad, early, left",0.8942611813545227
54,they speak they swallow letters one time a soldier asked,they were they know passed longly a soldier asked,0.3333333333333333,0.5263157894736842,0.49713295698165894,0.5263158082962036,"asked, soldier",0.8466853499412537
62,the street he turned left and instead of turning around,the jurisdiction he turned off and you've guns turning arounds,0.3333333333333333,0.5,0.5,0.5714285969734192,"turned, turning",0.859586775302887
93,anything but things at home start to get a little,what tight things do there's start but decide just loud,0.3333333333333333,0.3,0.30000001192092896,0.2857142984867096,"start, things",0.8297054171562195
87,competitive and so i ask judy who is standing next,civil wedding so camp they've judy know is standing awkward up of,0.3076923076923077,0.3636363636363636,0.3333333432674408,0.3478260934352875,"judy, standing",0.8141251802444458
2,weeks in the hospital weeks blind and mute as well,weeks jewish right saying weeks on you're ce maybe,0.3076923076923077,0.2105263157894737,0.19885317981243134,0.20000000298023224,"weeks, weeks",0.8281269073486328
0,years old i got really sick um and no one,years old youth bit really scared head and red gun,0.28571428571428575,0.4000000000000001,0.4000000059604645,0.4000000059604645,"old, years",0.8524227142333984
4,made a promise to god that um if god delivers,made psyched fast to shake that um boy's community rodet,0.28571428571428575,0.4000000000000001,0.4000000059604645,0.380952388048172,"made, um",0.8179042935371399
105,the process won't allow that you've got to let go,the it night's let that you've unexceptional to something though raspoint,0.2857142857142857,0.47619047619047616,0.4545454680919647,0.47999998927116394,"let, you've",0.8156286478042603
5,offering to give thanks for delivering my child home safely,relating appropriate drag isn't for this my son home safely,0.2857142857142857,0.4000000000000001,0.4000000059604645,0.380952388048172,"home, safely",0.8623149394989014
