index,target,generated,content_f1,word_f1,bleu1,rouge1_f1,overlapping_content_words,bertscore_raw_f1
1,with a hyper allergy something called stevens johnson syndrome and,with a hyper allergy something called stevens johnson syndrome and,1.0,1.0,1.0,1.0,"allergy, called, hyper, johnson, something, stevens, syndrome",1.0
3,slept every night in the hospital to take care of,slept every night in the hospital to take care of,1.0,1.0,1.0,1.0,"care, every, hospital, night, slept, take",1.0
4,made a promise to god that um if god delivers,made a promise to god that if god delivers um,1.0,1.0,1.0,1.0,"delivers, god, god, made, promise, um",0.960997462272644
5,offering to give thanks for delivering my child home safely,offering to give thanks for delivering my child home safely,1.0,1.0,1.0,1.0,"child, delivering, give, home, offering, safely, thanks",1.0
6,mother and i drove in our red ford mercury car,mother and i drove in our red ford mercury car,1.0,1.0,1.0,1.0,"car, drove, ford, mercury, mother, red",1.0
7,long enough ago i was fourteen a long time ago,long enough ago i was fourteen a long time ago,1.0,1.0,1.0,1.0,"ago, ago, enough, fourteen, long, long, time",1.0
8,still really sick i could barely hold my head up,still really sick i could barely hold my head up,1.0,1.0,1.0,1.0,"barely, head, hold, sick, still",1.0
9,squeaky round styrofoam plate with bunch of yellow rice on,squeaky round styrofoam plate with bunch of yellow rice on,1.0,1.0,1.0,1.0,"bunch, plate, rice, round, squeaky, styrofoam, yellow",1.0
11,remember the plate flying and yellow rice everywhere like confetti,remember the plate flying like confetti and yellow rice everywhere,1.0,1.0,1.0,1.0,"confetti, everywhere, flying, like, plate, remember, rice, yellow",0.9813457727432251
12,us no trees no nothing just endless miraculous blue sky,no trees no nothing just endless us blue sky miraculous,1.0,1.0,1.0,1.0,"blue, endless, miraculous, nothing, sky, trees",0.9349949955940247
14,embankment and then finally came to a last thud and,embankment and then finally came to a last thud and,1.0,1.0,1.0,1.0,"came, embankment, finally, last, thud",1.0000001192092896
15,eyes closed and her mouth open and blood was trickling,eyes closed and her mouth open and blood was trickling,1.0,1.0,1.0,1.0,"blood, closed, eyes, mouth, open, trickling",1.0
16,driving vijay we were at the temple vijay vijay vijay,driving vijay we were at the temple vijay vijay vijay,1.0,1.0,1.0,1.0,"driving, temple, vijay, vijay, vijay, vijay",1.0000001192092896
18,this nonstop loop of my stepfather almost like that cliche,this nonstop loop of my stepfather almost like that cliche,1.0,1.0,1.0,1.0,"almost, cliche, like, loop, nonstop, stepfather",1.0
19,i started feeling things i started feeling hot and cold,i started feeling things i started feeling hot and cold,1.0,1.0,1.0,1.0,"cold, feeling, feeling, hot, started, started, things",0.9999999403953552
20,kept getting louder and louder the silence then i finally,kept getting louder and louder the silence then i finally,1.0,1.0,1.0,1.0,"finally, getting, kept, louder, louder, silence",1.0
22,famous things called the jaws of life to cut open,famous things called the jaws of life to cut open,1.0,1.0,1.0,1.0,"called, cut, famous, jaws, life, open, things",1.0
24,i remember being incredibly uncomfortable in a cold hospital bed,i remember being incredibly uncomfortable in a cold hospital bed,1.0,1.0,1.0,1.0,"bed, cold, hospital, incredibly, remember, uncomfortable",1.0
25,remember you know in the emergency room i remember vague,remember you know in the emergency room i remember vague,1.0,1.0,1.0,1.0,"emergency, know, remember, remember, room, vague",1.0
