index,target,generated,content_f1,word_f1,bleu1,rouge1_f1,overlapping_content_words
0,school as a part time student but i'm still consulting,time to get married and i'm working on a painting,0.30769230769230765,0.3,0.30000001192092896,0.3636363744735718,"i'm, time"
1,somebody else thinking you're cool can make you think differently,think the gun is going to make fucking illilla's come,0.26666666666666666,0.20000000000000004,0.20000000298023224,0.1818181872367859,"make, think"
2,us military you will forever be an al qaeda target,military helicopters that resulted in the death of an insurgent,0.20000000000000004,0.20000000000000004,0.20000000298023224,0.20000000298023224,military
3,college loans and you know bought me an apartment paid,went to college and i thought i would have earned,0.2,0.20000000000000004,0.20000000298023224,0.20000000298023224,college
4,something different by age thirty i had done most everything,the way that i really thought about open up something,0.2,0.20000000000000004,0.20000000298023224,0.20000000298023224,something
5,embankment and then finally came to a last thud and,startling uh just a little screams and in chaos came,0.1818181818181818,0.3,0.30000001192092896,0.30000001192092896,came
6,passenger seat the driver was listening to really loud music,driver's seat and i took my car home,0.1818181818181818,0.11111111111111112,0.0973500981926918,0.21052631735801697,seat
7,anything but things at home start to get a little,really love the things you're running out of things that,0.1818181818181818,0.10000000000000002,0.10000000149011612,0.095238097012043,things
8,two instructors and several students review the work give us,progress to the next two years of ihin's,0.16666666666666666,0.22222222222222224,0.1947001963853836,0.21052631735801697,two
9,gonna see another day am i gonna see my family,time i remember one day this is so perfect,0.16666666666666666,0.2105263157894737,0.19885317981243134,0.21052631735801697,day
10,helmut newton they said you know helmut newton the guy,taller than a few people think you know exactly what,0.16666666666666666,0.20000000000000004,0.20000000298023224,0.20000000298023224,know
11,committed relationship for the past eighteen years with his boyfriend,either though i'm not afraid about being ten years,0.16666666666666666,0.10526315789473685,0.09942658990621567,0.10000000149011612,years
12,they speak they swallow letters one time a soldier asked,more than one hundred years ago i was going to,0.16666666666666666,0.10000000000000002,0.10000000149011612,0.10000000149011612,one
13,stay i left baghdad early the next morning going back,so soon i was able to call the next dog,0.15384615384615385,0.3,0.30000001192092896,0.30000001192092896,next
14,ever trying anything different for even attempting anything new and,things happen to me so i haven't done anything else,0.14285714285714288,0.10000000000000002,0.10000000149011612,0.095238097012043,anything
15,go back to my normal life and i'm highly suspicious,start playing like i'm going about three minutes and,0.14285714285714285,0.2105263157894737,0.19885317981243134,0.380952388048172,i'm
16,leave baghdad on thursday november twenty third of two thousand,go far the next two weeks my security security led,0.125,0.10000000000000002,0.10000000149011612,0.10000000149011612,two
