index,target,generated,content_f1,word_f1,bleu1,rouge1_f1,overlapping_content_words,bertscore_raw_f1
100,school as a part time student but i'm still consulting,time to get married and i'm working on a painting,0.30769230769230765,0.3,0.30000001192092896,0.3636363744735718,"i'm, time",0.87554532289505
36,somebody else thinking you're cool can make you think differently,think the gun is going to make fucking illilla's come,0.26666666666666666,0.20000000000000004,0.20000000298023224,0.1818181872367859,"make, think",0.8284592628479004
72,us military you will forever be an al qaeda target,military helicopters that resulted in the death of an insurgent,0.20000000000000004,0.20000000000000004,0.20000000298023224,0.20000000298023224,military,0.8538364768028259
37,college loans and you know bought me an apartment paid,went to college and i thought i would have earned,0.2,0.20000000000000004,0.20000000298023224,0.20000000298023224,college,0.8348458409309387
75,something different by age thirty i had done most everything,the way that i really thought about opening up something,0.2,0.20000000000000004,0.20000000298023224,0.20000000298023224,something,0.8454697132110596
14,embankment and then finally came to a last thud and,startling uh just a little screams and in chaos came,0.1818181818181818,0.3,0.30000001192092896,0.30000001192092896,came,0.8160924315452576
93,anything but things at home start to get a little,really love the things you're running out of things that,0.1818181818181818,0.10000000000000002,0.10000000149011612,0.095238097012043,things,0.8300087451934814
103,two instructors and several students review the work give us,progress to the next two years of ihin's,0.16666666666666666,0.22222222222222224,0.1947001963853836,0.21052631735801697,two,0.8288255333900452
66,gonna see another day am i gonna see my family,time i remember one day this is so perfect,0.16666666666666666,0.2105263157894737,0.19885317981243134,0.21052631735801697,day,0.8446770906448364
34,helmut newton they said you know helmut newton the guy,taller than a few people pretend you know exactly what,0.16666666666666666,0.20000000000000004,0.20000000298023224,0.20000000298023224,know,0.8263921737670898
98,committed relationship for the past eighteen years with his boyfriend,either though i'm not shy about being ten years,0.16666666666666666,0.10526315789473685,0.09942658990621567,0.10000000149011612,years,0.8284564018249512
54,they speak they swallow letters one time a soldier asked,more than one hundred years ago i was going to,0.16666666666666666,0.10000000000000002,0.10000000149011612,0.10000000149011612,one,0.8106849789619446
71,stay i left baghdad early the next morning going back,so soon i was able to call the next flight,0.15384615384615385,0.3,0.30000001192092896,0.30000001192092896,next,0.8662554025650024
91,ever trying anything different for even attempting anything new and,things happen to me so i haven't done anything else,0.14285714285714288,0.10000000000000002,0.10000000149011612,0.095238097012043,anything,0.8290780186653137
